fas_code,course_code
HIST 3920A,HIST 3920A
HIST 2707,HIST 2707
HIST 3900,HIST 3900
HIST-LIT 90AT,HIST-LIT 90AT
HIST-LIT 90DR,HIST-LIT 90DR
HIST-LIT 90EO,HIST-LIT 90EO
HIST-LIT 90EK,HIST-LIT 90EK
HIST-LIT 90EI,HIST-LIT 90EI
HIST-LIT 90EJ,HIST-LIT 90EJ
HIST-LIT 90EQ,HIST-LIT 90EQ
HIST-LIT 90ES,HIST-LIT 90ES
HIST-LIT 90EV,HIST-LIT 90EV
HIST-LIT 90EW,HIST-LIT 90EW
HIST-LIT 90EU,HIST-LIT 90EU
HIST-LIT 90EX,HIST-LIT 90EX
HIST-LIT 90EZ,HIST-LIT 90EZ
HIST-LIT 90EY,HIST-LIT 90EY
HAA 18K,HAA 18K
HIST-LIT 90FB,HIST-LIT 90FB
HAA 45M,HAA 45M
HAA 97R,HAA 97R
HAA 81,HAA 81
HAA 63,HAA 63
HAA 92R,HAA 92R
HAA 98AR,HAA 98AR
HAA 171M,HAA 171M
HAA 197,HAA 197
HAA 177M,HAA 177M
HAA 155M,HAA 155M
HAA 267K,HAA 267K
HAA 278P,HAA 278P
HISTSCI 98,HISTSCI 98
HAA 290P,HAA 290P
HAA 285P,HAA 285P
HISTSCI 99A,HISTSCI 99A
HISTSCI 99A,HISTSCI 99A
HISTSCI 100,HISTSCI 100
HISTSCI 1334,HISTSCI 1334
HISTSCI 1441,HISTSCI 1441
HISTSCI 1460,HISTSCI 1460
HISTSCI 1471,HISTSCI 1471
HISTSCI 1480,HISTSCI 1480
HISTSCI 1770,HISTSCI 1770
HISTSCI 1780,HISTSCI 1780
HISTSCI 1932,HISTSCI 1932
HISTSCI 2110,HISTSCI 2110
HISTSCI 3003A,HISTSCI 3003A
HISTSCI 2812,HISTSCI 2812
HISTSCI 2985,HISTSCI 2985
HEB 1290,HEB 1290
HEB 99A,HEB 99A
HEB 1330,HEB 1330
HEB 1380,HEB 1380
HEB 1334,HEB 1334
HEB 1381,HEB 1381
HEB 1404,HEB 1404
HEB 1410,HEB 1410
HEB 1406,HEB 1406
HEB 1392,HEB 1392
HEB 1480,HEB 1480
HUMAN 10A,HUMAN 10A
HUMAN 20,HUMAN 20
LING 73A,LING 73A
HUMAN 90,HUMAN 90
LING 73A,LING 73A
LING 98A,LING 98A
LING 73C,LING 73C
LING 101,LING 101
LING 104,LING 104
LING 105,LING 105
LING 108,LING 108
LING 115,LING 115
LING 241A,LING 241A
LING 171,LING 171
MATH ESPA,MATH ESPA
MATH 1B,MATH 1B
MATH QA,MATH QA
MATH 1A,MATH 1A
MATH MA,MATH MA
MATH 18A,MATH 18A
MATH 19A,MATH 19A
MATH 21A,MATH 21A
MATH 21B,MATH 21B
MATH 22A,MATH 22A
MATH 25A,MATH 25A
MATH 55A,MATH 55A
MATH 60R,MATH 60R
MATH 101,MATH 101
MATH 99R,MATH 99R
MATH 112,MATH 112
MATH 114,MATH 114
MATH 122,MATH 122
MATH 116,MATH 116
MATH 124,MATH 124
MATH 131,MATH 131
MATH 136,MATH 136
MATH 230A,MATH 230A
MATH 222,MATH 222
MATH 231A,MATH 231A
MATH 242,MATH 242
MATH 232A,MATH 232A
MATH 286Y,MATH 286Y
MATH 251Y,MATH 251Y
BBS 301,BBS 301
MATH 288Y,MATH 288Y
BBS 330,BBS 330
BCMP 200,BCMP 200
BCMP 218,BCMP 218
BCMP 230,BCMP 230
BMIF 201,BMIF 201
CELLBIO 306QC,CELLBIO 306QC
CELLBIO 306QC,CELLBIO 306QC
GENETIC 201,GENETIC 201
IMMUN 201,IMMUN 201
HBTM 235,HBTM 235
IMMUN 307QC,IMMUN 307QC
MED-SCI 300QC,MED-SCI 300QC
MED-SCI 302QC,MED-SCI 302QC
MED-SCI 316QC,MED-SCI 316QC
MICROBI 202,MICROBI 202
NEUROBIO 215A,NEUROBIO 215A
NEUROBIO 212,NEUROBIO 212
NEUROBIO 308QC,NEUROBIO 308QC
SHBT 201,SHBT 201
VIROLOGY 200,VIROLOGY 200
VIROLOGY 202,VIROLOGY 202
MEDVLSTD 111,MEDVLSTD 111
MBB 980F,MBB 980F
MBB 980P,MBB 980P
MEDVLSTD 250,MEDVLSTD 250
MBB 980R,MBB 980R
LIFESCI 1A,LIFESCI 1A
LIFESCI 50A,LIFESCI 50A
LIFESCI 100,LIFESCI 100
MCB 60,MCB 60
MCB 63,MCB 63
MCB 80,MCB 80
MCB 99A,MCB 99A
MCB 91,MCB 91
MCB 111,MCB 111
MCB 112,MCB 112
MCB 292,MCB 292
MCB 175,MCB 175
MCB 169,MCB 169
MCB 350,MCB 350
MUSIC 4,MUSIC 4
MUSIC 14A,MUSIC 14A
MUSIC 10A,MUSIC 10A
MUSIC 15A,MUSIC 15A
MUSIC 51A,MUSIC 51A
MUSIC 16A,MUSIC 16A
MUSIC 18A,MUSIC 18A
MUSIC 97L,MUSIC 97L
MUSIC 142R,MUSIC 142R
MUSIC 123R,MUSIC 123R
MUSIC 167,MUSIC 167
MUSIC 159R,MUSIC 159R
MUSIC 150,MUSIC 150
MUSIC 175R,MUSIC 175R
MUSIC 180R,MUSIC 180R
MUSIC 189R,MUSIC 189R
MUSIC 221R,MUSIC 221R
MUSIC 264R,MUSIC 264R
ARABIC AA,ARABIC AA
ARABIC AA,ARABIC AA
MUSIC 286R,MUSIC 286R
ANE 120A,ANE 120A
ARABIC AA,ARABIC AA
ARABIC AA,ARABIC AA
ARABIC BA,ARABIC BA
ARABIC 131A,ARABIC 131A
ARABIC BA,ARABIC BA
ARABIC 241AR,ARABIC 241AR
ARABIC 131A,ARABIC 131A
ISLAMCIV 145A,ISLAMCIV 145A
ISLAMCIV 184,ISLAMCIV 184
ARABIC 242AR,ARABIC 242AR
MOD-HEB 120A,MOD-HEB 120A
MOD-HEB BA,MOD-HEB BA
MODMDEST 100,MODMDEST 100
MOD-HEB 130A,MOD-HEB 130A
MODMDEST 200A,MODMDEST 200A
PERSIAN AA,PERSIAN AA
YIDDISH BA,YIDDISH BA
TURKISH 120A,TURKISH 120A
NEURO 80,NEURO 80
NEURO 145,NEURO 145
NEURO 120,NEURO 120
NEURO 1202,NEURO 1202
LIFESCI 2,LIFESCI 2
OEB 10,OEB 10
OEB 53,OEB 53
OEB 50,OEB 50
OEB 65,OEB 65
OEB 145,OEB 145
OEB 212R,OEB 212R
OEB 155R,OEB 155R
OEB 230,OEB 230
OEB 399,OEB 399
PHIL 6,PHIL 6
PHIL 19,PHIL 19
PHIL 14,PHIL 14
PHIL 11,PHIL 11
