,fas_code,course_code
103,ECON 70,ECON 70
104,GENED 1181,GENED 1181
105,SOCIOL 1197,SOCIOL 1197
106,FRSEMR 71R,FRSEMR 71R
107,FRENCH 30,FRENCH 30
108,CE 10,CE 10
109,CZCH AA,CZCH AA
110,FRSEMR 48K,FRSEMR 48K
111,ITAL 40,ITAL 40
112,FRSEMR 26O,FRSEMR 26O
113,PHYSICS 151,PHYSICS 151
114,ENGLISH 181A,ENGLISH 181A
115,ESE 50,ESE 50
116,GENED 1089,GENED 1089
117,HIST-LIT 90FM,HIST-LIT 90FM
118,PHYSICS 143A,PHYSICS 143A
119,ARABIC AA,ARABIC AA
120,GENED 1093,GENED 1093
121,FRSEMR 25X,FRSEMR 25X
122,CZCH CR,CZCH CR
123,ENGLISH 20,ENGLISH 20
124,GOV 1740,GOV 1740
125,HIST-LIT 90FB,HIST-LIT 90FB
126,FRSEMR 23I,FRSEMR 23I
127,ENGLISH CFE,ENGLISH CFE
128,HEB 1328,HEB 1328
129,LIFESCI 1A,LIFESCI 1A
130,PHIL 27,PHIL 27
131,SOCIOL 1104,SOCIOL 1104
132,MATH 121,MATH 121
133,FRSEMR 70P,FRSEMR 70P
134,GERMAN 61,GERMAN 61
135,GENED 1166,GENED 1166
136,SPANSH 40,SPANSH 40
137,GULLAH AA,GULLAH AA
138,MUSIC 159R,MUSIC 159R
139,SOCIOL 1178,SOCIOL 1178
140,ECON 1010A,ECON 1010A
141,OEB 55,OEB 55
142,ENGLISH 125PC,ENGLISH 125PC
143,GENED 1097,GENED 1097
144,JAPAN BA,JAPAN BA
145,HAA 184G,HAA 184G
146,LATIN 117,LATIN 117
147,HIST-LIT 90EV,HIST-LIT 90EV
148,ANTHRO 1255,ANTHRO 1255
149,GENED 1079,GENED 1079
150,NEP 102A,NEP 102A
151,FRSEMR 62R,FRSEMR 62R
152,E-PSCI 50,E-PSCI 50
153,RELIGION 119,RELIGION 119
154,AFVS 76,AFVS 76
155,ITAL 10,ITAL 10
156,EGYPTARB AA,EGYPTARB AA
157,APPHY 50A,APPHY 50A
158,AFVS 58T,AFVS 58T
