index,fas_code,enrollment
293,FAS-216411-2218-1-1-001,10
294,FAS-216639-2218-1-1-001,7
295,FAS-205147-2218-1-1-001,10
296,FAS-146632-2218-1-1-001,12
297,FAS-218756-2218-1-1-001,12
298,FAS-216347-2218-1-1-001,10
299,FAS-156630-2218-1-1-001,11
300,FAS-213327-2218-1-1-001,8
301,FAS-205151-2218-1-1-001,12
302,FAS-130000-2218-1-1-001,12
303,FAS-116875-2218-1-1-001,7
304,FAS-116874-2218-1-1-001,12
305,FAS-218759-2218-1-1-002,12
306,FAS-218759-2218-1-1-001,12
307,FAS-218130-2218-1-1-001,10
308,FAS-207633-2218-1-1-001,12
309,FAS-203266-2218-1-1-001,14
310,FAS-218124-2218-1-1-001,11
311,FAS-218806-2218-1-1-001,9
312,FAS-132844-2218-1-1-001,91
313,FAS-146586-2218-1-1-001,10
314,FAS-204047-2218-1-1-001,7
315,FAS-216063-2218-1-1-001,22
316,FAS-218159-2218-1-1-001,14
317,FAS-146185-2218-1-1-001,10
318,FAS-218158-2218-1-1-001,22
319,FAS-203067-2218-1-1-001,12
320,FAS-216074-2218-1-1-002,8
321,FAS-121946-2218-1-1-001,15
322,FAS-146676-2218-1-1-001,39
323,FAS-218129-2218-1-1-001,26
324,FAS-214513-2218-1-1-001,11
325,FAS-218126-2218-1-1-001,12
326,FAS-146590-2218-1-1-001,42
327,FAS-218127-2218-1-1-001,29
328,FAS-207555-2218-1-1-001,57
329,FAS-204999-2218-1-1-001,13
330,FAS-130910-2218-1-1-001,8
331,FAS-218136-2218-1-1-001,9
332,FAS-218148-2218-1-1-001,15
333,FAS-156215-2218-1-1-001,27
334,FAS-216101-2218-1-1-001,13
335,FAS-216460-2218-1-1-001,31
336,FAS-109882-2218-1-1-999,46
337,FAS-160452-2218-1-1-001,15
338,FAS-123858-2218-1-1-001,23
339,FAS-218597-2218-1-1-25,13
340,FAS-208113-2218-1-1-001,14
341,FAS-110943-2218-1-1-001,6
342,FAS-207804-2218-1-1-002,15
343,FAS-216400-2218-1-1-001,15
344,FAS-208114-2218-1-1-001,31
345,FAS-218601-2218-1-1-001,14
346,FAS-218535-2218-1-1-001,15
347,FAS-218600-2218-1-1-001,25
348,FAS-118262-2218-1-1-103,10
349,FAS-118262-2218-1-1-104,9
350,FAS-118262-2218-1-1-102,10
351,FAS-118262-2218-1-1-105,10
352,FAS-118262-2218-1-1-106,10
353,FAS-118262-2218-1-1-108,9
354,FAS-118262-2218-1-1-111,10
355,FAS-118262-2218-1-1-110,10
356,FAS-118262-2218-1-1-107,10
357,FAS-118262-2218-1-1-112,10
358,FAS-118262-2218-1-1-116,10
359,FAS-118262-2218-1-1-115,9
360,FAS-118262-2218-1-1-118,8
361,FAS-118262-2218-1-1-113,10
362,FAS-118262-2218-1-1-114,8
363,FAS-118262-2218-1-1-119,9
364,FAS-118262-2218-1-1-120,10
365,FAS-118262-2218-1-1-122,9
366,FAS-118262-2218-1-1-124,8
367,FAS-118262-2218-1-1-121,9
368,FAS-118262-2218-1-1-123,9
369,FAS-116353-2218-1-1-201,14
370,FAS-116353-2218-1-1-203,15
371,FAS-116353-2218-1-1-202,15
372,FAS-116353-2218-1-1-205,14
373,FAS-116353-2218-1-1-204,15
374,FAS-116353-2218-1-1-206,15
375,FAS-116353-2218-1-1-208,15
376,FAS-116353-2218-1-1-207,15
377,FAS-116353-2218-1-1-209,14
378,FAS-116353-2218-1-1-211,15
379,FAS-116353-2218-1-1-210,15
380,FAS-116353-2218-1-1-215,15
381,FAS-116353-2218-1-1-216,15
382,FAS-116353-2218-1-1-217,15
383,FAS-116353-2218-1-1-220,15
384,FAS-116353-2218-1-1-221,15
385,FAS-116353-2218-1-1-219,15
386,FAS-116353-2218-1-1-218,15
