fas_code,enrollment,course_code
FAS-110731-2218-1-1-1,12,ECON 2725
FAS-114301-2218-1-1-001,23,ECON 2810A
FAS-208001-2218-1-1-001,20,ECON 2905
FAS-211332-2218-1-1-001,16,ECON 2906
FAS-210859-2218-1-1-001,21,ECON 2912
FAS-115030-2218-1-1-001,17,ECON 3011
FAS-111404-2218-1-1-001,42,ECON 3012
FAS-218917-2218-1-1-001,8,EDST 104
FAS-122339-2218-1-1-001,41,ENG-SCI 53
FAS-148434-2218-1-1-001,25,ENG-SCI 51
FAS-109272-2218-1-1-001,30,ENG-SCI 95R
FAS-144983-2218-1-1-001,17,ENG-SCI 96
FAS-208045-2218-1-1-001,19,ENG-SCI 91HFR
FAS-156287-2218-1-1-001,34,ENG-SCI 111
FAS-144157-2218-1-1-001,33,ENG-SCI 125
FAS-118939-2218-1-1-001,252,ENG-SCI 139
FAS-207597-2218-1-1-001,22,ENG-SCI 152
FAS-207626-2218-1-1-001,27,ENG-SCI 155
FAS-109358-2218-1-1-001,14,ENG-SCI 157
FAS-131554-2218-1-1-001,29,ENG-SCI 159
FAS-119048-2218-1-1-001,17,ENG-SCI 173
FAS-114808-2218-1-1-001,17,ENG-SCI 222
FAS-118942-2218-1-1-001,252,ENG-SCI 239
FAS-216405-2218-1-1-001,33,ENG-SCI 192
FAS-135598-2218-1-1-001,38,ENG-SCI 181
FAS-148181-2218-1-1-001,14,ENG-SCI 241
FAS-123351-2218-1-1-001,9,ENG-SCI 273
FAS-119057-2218-1-1-001,11,ENG-SCI 250
FAS-134052-2218-1-1-001,29,ENG-SCI 259
FAS-118028-2218-1-1-001,13,ENG-SCI 274
FAS-156219-2218-1-1-001,15,ENG-SCI 291
FAS-207614-2218-1-1-001,16,ENG-SCI 297
FAS-160953-2218-1-1-001,10,ENGLISH CAFR
FAS-216411-2218-1-1-001,10,ENGLISH CACF
FAS-216639-2218-1-1-001,7,ENGLISH CBN
FAS-205147-2218-1-1-001,10,ENGLISH CAJR
FAS-146632-2218-1-1-001,12,ENGLISH CBBR
FAS-218756-2218-1-1-001,12,ENGLISH CCFC
FAS-216347-2218-1-1-001,10,ENGLISH CFF
FAS-156630-2218-1-1-001,11,ENGLISH CIJR
FAS-213327-2218-1-1-001,8,ENGLISH CGF
FAS-205151-2218-1-1-001,12,ENGLISH CIHR
FAS-130000-2218-1-1-001,12,ENGLISH CHCR
FAS-116875-2218-1-1-001,7,ENGLISH CKR
FAS-116874-2218-1-1-001,12,ENGLISH CLR
FAS-218759-2218-1-1-002,12,ENGLISH CMAG
FAS-218759-2218-1-1-001,12,ENGLISH CMAG
FAS-218130-2218-1-1-001,10,ENGLISH CNS
FAS-207633-2218-1-1-001,12,ENGLISH CNSR
FAS-203266-2218-1-1-001,14,ENGLISH CTV
FAS-218124-2218-1-1-001,11,ENGLISH CWP
FAS-218806-2218-1-1-001,9,ENGLISH CSGJ
FAS-132844-2218-1-1-001,91,ENGLISH 10
FAS-146586-2218-1-1-001,10,ENGLISH 90HB
FAS-204047-2218-1-1-001,7,ENGLISH 90CNC
FAS-216063-2218-1-1-001,22,ENGLISH 20
FAS-218159-2218-1-1-001,14,ENGLISH 90HP
FAS-146185-2218-1-1-001,10,ENGLISH 90KB
FAS-218158-2218-1-1-001,22,ENGLISH 119TY
FAS-203067-2218-1-1-001,12,ENGLISH 90LL
FAS-216074-2218-1-1-002,8,ENGLISH 97
FAS-121946-2218-1-1-001,15,ENGLISH 102E
FAS-146676-2218-1-1-001,39,ENGLISH 145A
FAS-218129-2218-1-1-001,26,ENGLISH 176TM
FAS-214513-2218-1-1-001,11,ENGLISH 152KD
FAS-218126-2218-1-1-001,12,ENGLISH 179H
FAS-146590-2218-1-1-001,42,ENGLISH 181A
FAS-218127-2218-1-1-001,29,ENGLISH 184CF
FAS-207555-2218-1-1-001,57,ENGLISH 185E
FAS-204999-2218-1-1-001,13,ENGLISH 197GR
FAS-130910-2218-1-1-001,8,ENGLISH 231
FAS-218136-2218-1-1-001,9,ENGLISH 290EH
FAS-218148-2218-1-1-001,15,ENGLISH 287AG
FAS-156215-2218-1-1-001,27,ESE 137
FAS-216101-2218-1-1-001,13,ENGLISH 297C
FAS-216460-2218-1-1-001,31,ESE 168
FAS-109882-2218-1-1-999,46,ESPP 77
FAS-160452-2218-1-1-001,15,ESE 160
FAS-123858-2218-1-1-001,23,ESPP 90N
FAS-218597-2218-1-1-25,13,ESPP 90K
FAS-208113-2218-1-1-001,14,ESPP 90G
FAS-110943-2218-1-1-001,6,ESPP 91R
FAS-207804-2218-1-1-002,15,EMR 131
FAS-216400-2218-1-1-001,15,EMR 141
FAS-208114-2218-1-1-001,31,EMR 133
FAS-218601-2218-1-1-001,14,EMR 147
FAS-218535-2218-1-1-001,15,EMR 146
FAS-218600-2218-1-1-001,25,EMR 1010
FAS-118262-2218-1-1-103,10,EXPOS 10
FAS-118262-2218-1-1-104,9,EXPOS 10
FAS-118262-2218-1-1-102,10,EXPOS 10
FAS-118262-2218-1-1-105,10,EXPOS 10
FAS-118262-2218-1-1-106,10,EXPOS 10
FAS-118262-2218-1-1-108,9,EXPOS 10
FAS-118262-2218-1-1-111,10,EXPOS 10
FAS-118262-2218-1-1-110,10,EXPOS 10
FAS-118262-2218-1-1-107,10,EXPOS 10
FAS-118262-2218-1-1-112,10,EXPOS 10
FAS-118262-2218-1-1-116,10,EXPOS 10
FAS-118262-2218-1-1-115,9,EXPOS 10
FAS-118262-2218-1-1-118,8,EXPOS 10
FAS-118262-2218-1-1-113,10,EXPOS 10
FAS-118262-2218-1-1-114,8,EXPOS 10
FAS-118262-2218-1-1-119,9,EXPOS 10
FAS-118262-2218-1-1-120,10,EXPOS 10
FAS-118262-2218-1-1-122,9,EXPOS 10
FAS-118262-2218-1-1-124,8,EXPOS 10
FAS-118262-2218-1-1-121,9,EXPOS 10
FAS-118262-2218-1-1-123,9,EXPOS 10
FAS-116353-2218-1-1-201,14,EXPOS 20
FAS-116353-2218-1-1-203,15,EXPOS 20
FAS-116353-2218-1-1-202,15,EXPOS 20
FAS-116353-2218-1-1-205,14,EXPOS 20
FAS-116353-2218-1-1-204,15,EXPOS 20
FAS-116353-2218-1-1-206,15,EXPOS 20
FAS-116353-2218-1-1-208,15,EXPOS 20
FAS-116353-2218-1-1-207,15,EXPOS 20
FAS-116353-2218-1-1-209,14,EXPOS 20
FAS-116353-2218-1-1-211,15,EXPOS 20
FAS-116353-2218-1-1-210,15,EXPOS 20
FAS-116353-2218-1-1-215,15,EXPOS 20
FAS-116353-2218-1-1-216,15,EXPOS 20
FAS-116353-2218-1-1-217,15,EXPOS 20
FAS-116353-2218-1-1-220,15,EXPOS 20
FAS-116353-2218-1-1-221,15,EXPOS 20
FAS-116353-2218-1-1-219,15,EXPOS 20
FAS-116353-2218-1-1-218,15,EXPOS 20
FAS-116353-2218-1-1-222,15,EXPOS 20
FAS-116353-2218-1-1-227,14,EXPOS 20
FAS-116353-2218-1-1-223,13,EXPOS 20
FAS-116353-2218-1-1-226,15,EXPOS 20
FAS-116353-2218-1-1-224,13,EXPOS 20
FAS-116353-2218-1-1-228,12,EXPOS 20
FAS-116353-2218-1-1-236,15,EXPOS 20
FAS-116353-2218-1-1-229,15,EXPOS 20
FAS-116353-2218-1-1-230,15,EXPOS 20
FAS-116353-2218-1-1-231,14,EXPOS 20
FAS-116353-2218-1-1-237,14,EXPOS 20
FAS-116353-2218-1-1-238,15,EXPOS 20
FAS-116353-2218-1-1-240,15,EXPOS 20
FAS-116353-2218-1-1-241,8,EXPOS 20
FAS-116353-2218-1-1-239,15,EXPOS 20
FAS-116353-2218-1-1-242,15,EXPOS 20
FAS-116353-2218-1-1-246,14,EXPOS 20
FAS-116353-2218-1-1-243,13,EXPOS 20
FAS-116353-2218-1-1-244,15,EXPOS 20
FAS-116353-2218-1-1-245,15,EXPOS 20
FAS-116353-2218-1-1-249,15,EXPOS 20
FAS-116353-2218-1-1-252,15,EXPOS 20
FAS-116353-2218-1-1-253,15,EXPOS 20
FAS-116353-2218-1-1-251,15,EXPOS 20
FAS-116353-2218-1-1-254,15,EXPOS 20
FAS-116353-2218-1-1-250,13,EXPOS 20
FAS-116353-2218-1-1-255,15,EXPOS 20
FAS-116353-2218-1-1-258,15,EXPOS 20
FAS-116353-2218-1-1-256,15,EXPOS 20
FAS-116353-2218-1-1-257,14,EXPOS 20
FAS-116353-2218-1-1-259,12,EXPOS 20
FAS-125227-2218-1-1-001,14,EXPOS 40
FAS-125227-2218-1-1-004,13,EXPOS 40
FAS-125227-2218-1-1-006,14,EXPOS 40
FAS-125227-2218-1-1-002,15,EXPOS 40
FAS-125227-2218-1-1-003,14,EXPOS 40
FAS-125227-2218-1-1-007,13,EXPOS 40
FAS-125227-2218-1-1-008,13,EXPOS 40
FAS-125227-2218-1-1-010,12,EXPOS 40
FAS-125227-2218-1-1-009,13,EXPOS 40
FAS-218266-2218-1-1-001,168,FOLKMYTH 111
FAS-218914-2218-1-1-001,31,FOLKMYTH 133
FAS-109916-2218-1-1-001,11,FRSEMR 21I
FAS-112349-2218-1-1-001,11,FRSEMR 21W
FAS-161297-2218-1-1-001,9,FOLKMYTH 176
FAS-123658-2218-1-1-001,12,FRSEMR 22I
FAS-160198-2218-1-1-001,8,FRSEMR 23C
FAS-160219-2218-1-1-001,12,FRSEMR 23I
FAS-127976-2218-1-1-001,15,FRSEMR 24G
FAS-109575-2218-1-1-01,9,FRSEMR 23Y
FAS-122458-2218-1-1-001,11,FRSEMR 25N
FAS-110305-2218-1-1-001,10,FRSEMR 24Q
